Run Number,Polarization,Error
5316.0,80.795,0.097
5317.0,80.795,0.097
5318.0,80.795,0.097
5320.0,80.795,0.097
5321.0,80.795,0.097
5322.0,80.795,0.097
5323.0,80.795,0.097
5324.0,80.795,0.097
5364.0,80.795,0.097
5378.0,80.795,0.097
5379.0,80.795,0.097
5380.0,80.795,0.097
5385.0,80.795,0.097
5386.0,80.795,0.097
5387.0,80.795,0.097
5388.0,80.795,0.097
5406.0,80.795,0.097
5407.0,80.795,0.097
5408.0,80.795,0.097
5409.0,80.795,0.097
5411.0,80.795,0.097
5412.0,80.795,0.097
5414.0,80.795,0.097
5416.0,80.795,0.097
5445.0,80.795,0.097
5446.0,80.795,0.097
5448.0,80.795,0.097
5449.0,80.795,0.097
5453.0,80.795,0.097
5454.0,80.795,0.097
5455.0,80.795,0.097
5456.0,80.795,0.097
5457.0,80.795,0.097
5458.0,80.795,0.097
5459.0,80.795,0.097
5460.0,80.795,0.097
5461.0,80.795,0.097
5462.0,80.795,0.097
5463.0,80.795,0.097
5464.0,80.795,0.097
5465.0,80.795,0.097
5466.0,80.795,0.097
5467.0,80.795,0.097
5468.0,80.795,0.097
5469.0,80.795,0.097
5470.0,80.795,0.097
5471.0,80.795,0.097
5472.0,80.795,0.097
5476.0,80.795,0.097
5477.0,80.795,0.097
5478.0,80.795,0.097
5479.0,80.795,0.097
5480.0,80.795,0.097
5481.0,80.795,0.097
5482.0,80.795,0.097
5483.0,80.795,0.097
5484.0,80.795,0.097
5485.0,80.795,0.097
5486.0,80.795,0.097
5494.0,80.795,0.097
5495.0,80.795,0.097
5496.0,80.795,0.097
5497.0,80.795,0.097
5499.0,80.795,0.097
5501.0,80.795,0.097
5502.0,80.795,0.097
